#name1,name2,distance,forced_redirection,link_type
nassua,sir_kendal_issacs_gym,3.341,2,drive
nassua,bahamas_academy_gym,8.27,2,drive
nassua,fox_hill_community_center,5.764,2,drive
nassua,calvary_haitian_baptist_church,0.9419,2,drive
nassua,pilgrim_baptist_church,2.246,2,drive
nassua,all_saints_anglican_auditorium,6.154,2,drive
nassua,salvation_army_mackey,1.6456,2,drive
nassua,rainfurly_home_for_children,1.9547,2,drive
nassua,children's_emergency_hostel,7.872,2,drive
nassua,nazareth_centres,4.612,2,drive
nassua,enoch_backford_shelter,8.002,2,drive
nassua,grants_town_sda,1.3733,2,drive
marsh_harbor,marsh_harbour_healthcare_centre,0.8481,2,drive
marsh_harbor,marsh_harbor_government_complex,0.5958,2,drive
marsh_harbor,central_abaco_primary_school_,1.6848,2,drive
freeport,grand_lucayan_resort,6.13,2,drive
eight_mile_rock,bethel_deliverance_center,1.5743,2,drive
freeport,church_of_the_ascension_,6.571,2,drive
freeport,st._georges_sr._(gymnasium_only),2.833,2,drive
nassua,marsh_harbor,164.8,1,crossing
