Day,Date,campzone_a sim,campzone_a data,campzone_a error,bahamas_academy_gym sim,bahamas_academy_gym data,bahamas_academy_gym error,fox_hill_community_center sim,fox_hill_community_center data,fox_hill_community_center error,campzone_b sim,campzone_b data,campzone_b error,campzone_c sim,campzone_c data,campzone_c error,all_saints_anglican_auditorium sim,all_saints_anglican_auditorium data,all_saints_anglican_auditorium error,salvation_army_mackey sim,salvation_army_mackey data,salvation_army_mackey error,campzone_e sim,campzone_e data,campzone_e error,campzone_d sim,campzone_d data,campzone_d error,central_abaco_primary_school sim,central_abaco_primary_school data,central_abaco_primary_school error,marsh_harbor sim,marsh_harbor data,marsh_harbor error,nassua sim,nassua data,nassua error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2019-09-01,1277,52,23.5577,867,0,0.0,1026,20,50.3,1452,9,160.3333,1418,9,156.5556,1033,0,0.0,1422,2,710.0,896,1,895.0,242,200,0.21,154,48,2.2083,546,628,0.1306,15904,25578,0.3782,0.0,0,26547,0,26237,0
1,2019-09-02,1574,52,29.2692,1151,0,0.0,1240,20,61.0,1828,9,202.1111,1805,9,199.5556,1239,0,0.0,1704,2,851.0,1075,1,1074.0,279,200,0.395,245,48,4.1042,625,628,0.0048,13340,25578,0.4785,0.0,0,26547,0,26105,0
2,2019-09-03,1682,52,31.3462,1178,0,0.0,1330,20,65.5,1899,9,210.0,1870,9,206.7778,1327,0,0.0,1880,2,939.0,1143,1,1142.0,497,200,1.485,481,48,9.0208,250,628,0.6019,12547,25578,0.5095,0.0,0,26547,0,26084,0
3,2019-09-04,1630,52,30.3462,1229,0,0.0,1338,20,65.9,1925,9,212.8889,1868,9,206.5556,1327,0,0.0,1830,2,914.0,1155,1,1154.0,563,200,1.815,536,48,10.1667,214,628,0.6592,12460,25578,0.5129,0.0,0,26547,0,26075,0
4,2019-09-05,1638,52,30.5,1174,0,0.0,1356,20,66.8,1881,9,208.0,1853,9,204.8889,1310,0,0.0,1819,2,908.5,1181,1,1180.0,691,200,2.455,667,48,12.8958,273,628,0.5653,12536,25578,0.5099,0.0,0,26547,0,26379,0
5,2019-09-06,1616,52,30.0769,1168,0,0.0,1332,20,65.6,1882,9,208.1111,1841,9,203.5556,1281,0,0.0,1846,2,922.0,1234,1,1233.0,816,200,3.08,705,48,13.6875,313,628,0.5016,12474,25578,0.5123,0.0,0,26547,0,26508,0
6,2019-09-07,1672,52,31.1538,1096,0,0.0,1343,20,66.15,1830,9,202.3333,1832,9,202.5556,1284,0,0.0,1885,2,941.5,1159,1,1158.0,603,200,2.015,523,48,9.8958,985,628,0.5685,12316,25578,0.5185,0.0,0,26547,0,26528,0
7,2019-09-08,1621,52,30.1731,1087,0,0.0,1293,20,63.65,1811,9,200.2222,1881,9,208.0,1292,0,0.0,1794,2,896.0,1140,1,1139.0,651,200,2.255,527,48,9.9792,1182,628,0.8822,12257,25578,0.5208,0.0,0,26547,0,26536,0
8,2019-09-09,1604,52,29.8462,1109,0,0.0,1283,20,63.15,1799,9,198.8889,1942,9,214.7778,1333,0,0.0,1761,2,879.5,1120,1,1119.0,674,200,2.37,568,48,10.8333,1332,128,9.4062,12017,26078,0.5392,0.0,0,26547,0,26542,0
9,2019-09-10,1565,71,21.0423,1147,0,0.0,1226,20,60.3,1825,9,201.7778,1881,7,267.7143,1273,0,0.0,1796,2,897.0,1201,1,1200.0,721,200,2.605,602,48,11.5417,1427,128,10.1484,11881,26078,0.5444,0.0,0,26547,0,26545,0
10,2019-09-11,1539,71,20.6761,1114,0,0.0,1229,20,60.45,1763,9,194.8889,1909,7,271.7143,1246,0,0.0,1733,2,865.5,1210,1,1209.0,783,200,2.915,630,48,12.125,1531,128,10.9609,11859,26078,0.5452,0.0,0,26547,0,26546,0
11,2019-09-12,1618,73,21.1644,1109,22,49.4091,1218,20,59.9,1711,11,154.5455,1848,10,183.8,1228,0,0.0,1786,4,445.5,1182,5,235.4,789,200,2.945,631,48,12.1458,1669,128,12.0391,11758,26078,0.5491,0.0,0,26547,0,26547,0
12,2019-09-13,1563,73,20.411,1113,22,49.5909,1259,20,61.95,1741,11,157.2727,1850,10,184.0,1159,0,0.0,1716,4,428.0,1120,5,223.0,828,200,3.14,754,48,14.7083,1709,128,12.3516,11735,26078,0.55,0.0,0,26547,0,26547,0
13,2019-09-14,1521,136,10.1838,1124,19,58.1579,1179,23,50.2609,1736,11,156.8182,1841,6,305.8333,1200,0,0.0,1713,2,855.5,1092,5,217.4,883,200,3.415,766,48,14.9583,1824,128,13.25,11668,26078,0.5526,0.0,0,26547,0,26547,0
