Day,Date,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2019-09-01,0.0,0,0,0,0,0
1,2019-09-02,0.0,0,0,0,0,0
2,2019-09-03,0.0,0,0,0,0,0
3,2019-09-04,0.0,0,0,0,0,0
4,2019-09-05,0.0,0,0,0,0,0
5,2019-09-06,0.0,0,0,0,0,0
6,2019-09-07,0.0,0,0,0,0,0
7,2019-09-08,0.0,0,0,0,0,0
8,2019-09-09,0.0,0,0,0,0,0
9,2019-09-10,0.0,0,0,0,0,0
10,2019-09-11,0.0,0,0,0,0,0
11,2019-09-12,0.0,0,0,0,0,0
12,2019-09-13,0.0,0,0,0,0,0
13,2019-09-14,0.0,0,0,0,0,0
