Day,Date,campzone_a sim,campzone_a data,campzone_a error,bahamas_academy_gym sim,bahamas_academy_gym data,bahamas_academy_gym error,fox_hill_community_center sim,fox_hill_community_center data,fox_hill_community_center error,campzone_b sim,campzone_b data,campzone_b error,campzone_c sim,campzone_c data,campzone_c error,all_saints_anglican_auditorium sim,all_saints_anglican_auditorium data,all_saints_anglican_auditorium error,salvation_army_mackey sim,salvation_army_mackey data,salvation_army_mackey error,campzone_e sim,campzone_e data,campzone_e error,campzone_d sim,campzone_d data,campzone_d error,central_abaco_primary_school sim,central_abaco_primary_school data,central_abaco_primary_school error,marsh_harbor sim,marsh_harbor data,marsh_harbor error,nassua sim,nassua data,nassua error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2019-09-08,520,520,0.0,174,0,0.0,200,200,0.0,90,91,0.011,95,95,0.0,184,0,0.0,25,25,0.0,213,15,13.2,1998,2000,0.001,489,489,0.0,2407,6283,0.6169,357,946,0.6226,0.0,0,10664,0,6752,0
1,2019-09-09,519,520,0.0019,174,0,0.0,200,200,0.0,90,91,0.011,95,95,0.0,184,0,0.0,25,25,0.0,213,15,13.2,1998,2000,0.001,489,489,0.0,987,1283,0.2307,145,5946,0.9756,0.0,0,10664,0,5119,0
2,2019-09-10,519,716,0.2751,174,0,0.0,200,202,0.0099,90,95,0.0526,95,70,0.3571,184,0,0.0,25,27,0.0741,212,15,13.1333,1995,2000,0.0025,489,489,0.0,385,1283,0.6999,68,6125,0.9889,0.0,0,10664,0,4436,0
3,2019-09-11,518,716,0.2765,174,0,0.0,200,202,0.0099,90,95,0.0526,95,70,0.3571,184,0,0.0,25,27,0.0741,212,15,13.1333,1993,2000,0.0035,489,489,0.0,153,1283,0.8807,25,6125,0.9959,0.0,0,10664,0,4158,0
4,2019-09-12,518,731,0.2914,174,226,0.2301,200,202,0.0099,90,116,0.2241,95,100,0.05,184,0,0.0,25,40,0.375,212,51,3.1569,1990,2000,0.005,489,489,0.0,1870,1283,0.4575,2127,6466,0.671,0.0,0,10664,0,7974,0
5,2019-09-13,518,731,0.2914,174,226,0.2301,200,202,0.0099,90,116,0.2241,94,100,0.06,184,0,0.0,25,40,0.375,211,51,3.1373,1989,2000,0.0055,488,489,0.002,2724,1283,1.1231,2871,6466,0.556,0.0,0,10664,0,9568,0
6,2019-09-14,517,1366,0.6215,174,191,0.089,199,236,0.1568,90,117,0.2308,94,63,0.4921,184,0,0.0,25,27,0.0741,211,51,3.1373,1988,2000,0.006,486,489,0.0061,3095,1283,1.4123,3168,7051,0.5507,0.0,0,10664,0,10231,0
7,2019-09-15,516,1366,0.6223,173,191,0.0942,199,236,0.1568,90,117,0.2308,94,63,0.4921,184,0,0.0,25,27,0.0741,211,51,3.1373,1987,2000,0.0065,486,489,0.0061,3228,1283,1.516,3311,7051,0.5304,0.0,0,10664,0,10504,0
8,2019-09-16,516,1366,0.6223,173,191,0.0942,199,236,0.1568,90,117,0.2308,94,63,0.4921,184,0,0.0,25,27,0.0741,211,51,3.1373,1983,2000,0.0085,486,489,0.0061,3308,1283,1.5783,3328,7051,0.528,0.0,0,10664,0,10597,0
9,2019-09-17,515,1366,0.623,173,191,0.0942,198,236,0.161,90,117,0.2308,94,63,0.4921,184,0,0.0,25,27,0.0741,211,51,3.1373,1981,2000,0.0095,486,489,0.0061,3293,1283,1.5666,3384,7051,0.5201,0.0,0,10664,0,10634,0
10,2019-09-18,514,1353,0.6201,173,193,0.1036,198,240,0.175,90,107,0.1589,94,69,0.3623,184,63,1.9206,25,26,0.0385,211,51,3.1373,1981,2000,0.0095,485,489,0.0082,3350,1283,1.6111,3348,7102,0.5286,0.0,0,10664,0,10653,0
11,2019-09-19,514,1353,0.6201,173,193,0.1036,198,240,0.175,90,107,0.1589,94,69,0.3623,184,63,1.9206,25,26,0.0385,211,51,3.1373,1981,2000,0.0095,485,489,0.0082,3338,1283,1.6017,3365,7102,0.5262,0.0,0,10664,0,10658,0
12,2019-09-20,513,1353,0.6208,173,198,0.1263,198,134,0.4776,90,101,0.1089,94,69,0.3623,184,63,1.9206,25,27,0.0741,211,75,1.8133,1979,2000,0.0105,485,489,0.0082,3342,1283,1.6048,3367,7020,0.5204,0.0,0,10664,0,10661,0
13,2019-09-21,513,1353,0.6208,173,198,0.1263,198,134,0.4776,90,101,0.1089,94,69,0.3623,184,63,1.9206,25,27,0.0741,211,75,1.8133,1978,2000,0.011,485,489,0.0082,3396,1283,1.6469,3316,7020,0.5276,0.0,0,10664,0,10663,0
